instance nr,time,solutions,nodes,failures
1,0.14,1,5,0
2,0.15,5,125,51
3,0.16,2,36,14
4,0.2,7,270,62
5,0.2,3,83,27
6,0.24,4,278,151
7,0.22,3,144,63
8,0.26,7,380,59
9,0.3,4,1145,618
10,0.37,7,1515,712
11,2.0,8,42031,22477
12,0.93,14,11924,6352
13,0.73,11,8455,4079
14,0.62,10,6214,2231
15,0.75,14,8327,2375
16,4.85,12,74878,36057
17,1.2,14,15661,5697
18,5.13,16,81590,33677
19,36.49,10,389828,198526
20,2.43,10,59563,14340
21,2.04,12,43099,10225
22,3.81,7,-1,-1
23,3.1,15,39149,15828
24,2.37,16,24388,9675
25,3.02,13,-1,-1
26,50.05,17,349059,177760
27,18.36,17,169286,74245
28,3.2,18,42286,14342
29,15.51,19,164707,64980
30,243.51,20,1993367,824950
31,2.37,18,33397,11234
32,50.59,22,-1,-1
33,1.33,18,8810,1739
34,4.4,7,95586,33790
35,4.01,23,80289,24199
36,1.13,10,10896,2377
37,110.68,9,-1,-1
38,53.97,23,-1,-1
39,3.53,19,-1,-1
40,292.47,15,-1,-1
