instance nr,time,solutions,nodes,failures
1,0.13,6,58,6
2,0.16,10,176,10
3,0.16,8,117,6
4,0.19,13,472,33
5,0.22,11,632,154
6,0.27,12,1596,673
7,0.27,12,1531,588
8,0.33,17,1931,645
9,0.29,13,1395,445
10,0.38,12,2186,723
11,0.7,13,-1,-1
12,0.57,25,6053,1748
13,0.51,23,3818,736
14,6.62,21,122348,62287
15,0.7,28,7521,1618
16,19.01,26,-1,-1
17,1.07,25,16195,4721
18,10.0,33,148557,60821
19,3.07,20,-1,-1
20,2.16,24,-1,-1
21,7.68,25,-1,-1
22,1.66,21,-1,-1
23,2.74,34,39639,13671
24,1.65,32,19256,6215
25,4.2,34,-1,-1
26,103.55,35,671982,323041
27,11.41,32,126542,51279
28,7.16,41,85068,32706
29,20.14,35,211479,75307
30,3.7,36,-1,-1
31,1.84,30,21930,5750
32,31.77,34,-1,-1
33,2.14,38,17571,5748
34,7.2,20,-1,-1
35,86.57,33,-1,-1
36,5.89,24,-1,-1
37,26.57,25,-1,-1
38,15.97,39,-1,-1
39,27.77,31,-1,-1
40,185.45,26,-1,-1
