instance nr,time,solutions,nodes,failures
1,0.11,9,111,13
2,0.12,19,506,48
3,0.12,21,804,136
4,0.13,19,915,187
5,0.15,34,2314,799
6,0.18,34,4069,1866
7,0.19,43,4965,2392
8,0.18,58,4088,790
9,0.2,56,5674,2212
10,0.34,60,10934,5812
11,13.23,73,-1,-1
12,3.5,96,72003,52946
13,2.33,101,49944,37694
14,93.7,106,717780,643086
15,0.83,129,29387,13675
16,1.06,135,-1,-1
17,86.36,145,824833,702462
18,14.42,173,180779,126483
19,12.01,182,-1,-1
20,3.44,189,-1,-1
21,60.98,196,-1,-1
22,242.04,203,-1,-1
23,7.47,180,-1,-1
24,135.8,187,1089978,892980
25,29.02,287,-1,-1
26,6.39,264,-1,-1
27,285.92,239,2645480,2199854
28,4.24,210,-1,-1
29,156.68,252,-1,-1
30,15.66,258,-1,-1
31,274.44,153,1698462,1302439
32,23.55,232,-1,-1
33,43.87,201,437747,320836
34,34.8,156,-1,-1
35,1.92,139,-1,-1
36,2.89,149,-1,-1
37,48.59,247,-1,-1
38,14.15,226,-1,-1
39,127.96,236,-1,-1
40,299.49,212,-1,-1
