instance nr,time,solutions,nodes,failures
1,0.69,601,18826,33
2,0.49,265,9439,225
3,1.83,998,46189,132
4,2.0,996,116870,644
5,2.73,995,74558,2278
6,3.22,917,75246,7684
7,1.08,173,31459,5202
8,2.89,1001,98838,741
9,3.16,997,74722,1743
10,5.21,998,120899,24796
11,22.82,991,-1,-1
12,8.76,998,179423,56986
13,8.8,967,185838,57566
14,51.62,994,498035,323182
15,7.23,995,182277,32685
16,13.46,993,-1,-1
17,11.56,999,237877,75290
18,8.93,991,-1,-1
19,115.22,988,-1,-1
20,17.69,988,-1,-1
21,80.66,987,-1,-1
22,167.56,989,-1,-1
23,25.75,990,392047,168197
24,71.73,988,711199,459181
25,40.81,991,-1,-1
26,22.86,996,-1,-1
27,15.34,990,-1,-1
28,12.5,986,-1,-1
29,35.56,980,-1,-1
30,112.49,983,-1,-1
31,192.02,986,1306201,852840
32,27.77,983,-1,-1
33,20.53,984,-1,-1
34,80.3,973,-1,-1
35,64.959999,977,-1,-1
36,23.47,970,-1,-1
37,65.62,953,-1,-1
38,108.08,951,-1,-1
39,89.49,930,-1,-1
40,299.6,262,-1,-1
