instance nr,time,solutions,nodes,failures

1,1.37,1,13,2

2,1.49,2,34,14

3,1.39,2,42,12

4,1.54,5,138,39

5,1.63,1,22,4

6,1.63,2,59,13

7,1.59,1,24,4

8,1.87,5,137,20

9,1.7,1,27,4

10,2.069999,3,269,152

11,13.37,4,56267,45732

12,2.57,7,2635,1699

13,2.87,4,3841,2611

14,4.41,5,9176,7096

15,2.46,7,396,65

16,38.76,12,136123,105123

17,3.74,6,5293,3335

18,7.68,8,17268,11239

19,28.06,90692,66168

20,0.4,2239,669

21,300,-1,-1

22,9.2,24937,14211

23,14.5,59608,43685

24,0.8,5623,2037

25,300,-1,-1

26,18.1,68655,44516

27,0.8,7351,2091

28,0.32,4987,617

29,4.38,23307,11206

30,300,-1,-1

31,3.68,20256,11627

32,300,-1,-1

33,1.29,11470,3935

34,19.12,93969,56441

35,26.15,90822,54529

36,9.26,38168,22170

37,300,-1,-1

38,246.81,516594,345090

39,300,-1,-1

40,300,-1,-1
