instance nr,time,solutions,nodes,failures

1,0.32,1,13,2

2,0.35,2,34,14

3,0.37,2,42,12

4,0.42,5,138,39

5,0.44,1,22,4

6,0.5,2,59,13

7,0.49,1,24,4

8,0.57,5,137,20

9,0.56,1,27,4

10,0.72,3,269,152

11,9.14,4,56267,45732

12,1.19,7,2635,1699

13,1.36,4,3841,2611

14,2.52,5,9176,7096

15,1.09,7,396,65

16,27.03,12,136123,105123

17,2.0,6,5293,3335

18,4.53,8,17268,11239

19,20.828,90692,66168

20,1.949,2239,669

21,3.35,779156,610027

22,7.694,24937,14211

23,13.604,59608,43685

24,2.71,5623,2037

25,300,-1,-1

26,18.366,68655,44516

27,2.632,7351, 2091

28, 2.291,4987,617

29,6.256,23307,11206

30,300,-1,-1

31,4.363,20256,11627

32,300,-1,-1

33,3.32,11470,3935

34,27.71,93969,56441

35,28.594,90822,54529

36,11.347,38168,22170

37,300,-1,-1

38,3.55,516594,345090

39,300,-1,-1

40,300,-1,-1
