instance nr,time,solutions,nodes,failures

1,0.31,1,6,1

2,0.31,4,35,4

3,0.32,2,22,4

4,0.35,4,62,20

5,0.36,3,43,9

6,0.39,4,83,33

7,0.4,3,99,59

8,0.45,7,647,394

9,0.43,4,282,194

10,0.5,5,176,77

11,1.97,5,24275,20142

12,0.71,14,2532,1123

13,0.71,7,2051,1477

14,0.92,10,6347,4551

15,0.7,10,2213,1138

16,1.26,12,9674,6039

17,0.84,14,3960,1537

18,0.87,16,5816,1836

19,1.0,10,3735,1900

20,1.05,10,5244,2688

21,1.0,12,5460,2170

22,1.38,8,9148,4926

23,1.03,15,6544,2754

24,1.06,16,7985,3374

25,23.33,14,236534,167383

26,8.15,18,96918,67998

27,1.19,17,6915,2448

28,1.26,18,6523,2151

29,1.95,19,16455,8266

30,217.76,20,1586651,1225004

31,1.26,18,9302,4294

32,277.23,23,1806658,1386465

33,1.74,18,13020,7223

34,14.89,7,143603,100955

35,3.11,23,31560,19536

36,3.78,30331,19183

37,300,-1,-1

38,94.38,830922,612715

39,300,-1,-1

40,300,-1,-1
