instance nr,time,solutions,nodes,failures

1,0.31,1,5,2

2,0.32,2,24,12

3,0.35,2,22,10

4,0.38,5,92,35

5,0.38,1,14,4

6,0.42,2,39,16

7,0.41,1,15,4

8,0.46,5,93,28

9,0.45,1,17,4

10,0.53,3,234,154

11,0.63,4,387,200

12,0.68,7,496,201

13,0.73,4,1294,956

14,0.66,5,384,203

15,0.68,7,283,65

16,1.16,10,6690,3783

17,0.88,6,2089,1244

18,1.24,9,8751,5799

19,0.92,5,973,349

20,0.94,4,1210,600

21,3.08,12,31899,22392

22,2.47,7,19437,13676

23,0.94,5,1958,1141

24,1.07,16,5932,2333

25,10.84,14,120459,81066

26,6.66,18,80375,56027

27,2.089999,17,20353,12167

28,1.13,14,4503,613

29,2.17,18,16503,9717

30,4.81,20,44335,28874

31,1.37,18,8456,3992

32,65.05,23,542870,412660

33,1.31,5,4721,2868

34,5.24,4,51535,36909

35,3.28,3,28037,18912

36,7.68,43537,29217

37,300,0,0

38,94.38,830922,612715

39,300,0,0

40,300,0,0
