instance nr,time,solutions,nodes,failures
1,0.13,1,13,3
2,0.13,5,106,31
3,0.12,2,59,23
4,0.14,7,1111,683
5,0.14,3,942,704
6,0.15,5,1091,715
7,0.16,3,1052,791
8,0.15,7,380,59
9,0.19,4,3199,2351
10,0.27,7,5378,4176
11,2.38,7,-1,-1
12,41.65,14,295834,262344
13,16.55,11,128431,115913
14,54.15,10,336893,313577
15,0.24,14,4945,2397
16,5.6,12,-1,-1
17,0.7,14,21183,14277
18,0.66,15,-1,-1
19,8.65,9,-1,-1
20,1.71,9,-1,-1
21,43.98,11,-1,-1
22,0.57,6,-1,-1
23,1.78,14,-1,-1
24,39.35,16,339958,283134
25,3.52,12,-1,-1
26,23.7,17,-1,-1
27,21.6,17,206915,166494
28,2.009999,17,-1,-1
29,243.44,18,-1,-1
30,36.3,18,-1,-1
31,25.78,18,230223,148984
32,2.5,20,-1,-1
33,22.59,18,224311,172794
34,2.15,5,-1,-1
35,14.3,22,-1,-1
36,19.04,9,-1,-1
37,244.13,7,-1,-1
38,7.41,21,-1,-1
39,46.07,17,-1,-1
40,300.19,0,-1,-1
