instance nr,time,solutions,nodes,failures

1,0.35,1,5,0

2,0.4,5,69,20

3,0.4,2,17,1

4,0.44,7,269,113

5,0.46,3,173,131

6,0.5,4,323,200

7,0.5,1,101,84

8,0.57,7,249,78

9,0.55,4,91,11

10,0.62,7,452,200

11,0.85,8,539,201

12,0.86,1,18,0

13,1.18,11,6107,4534

14,1.31,10,7113,5384

15,1.14,14,4266,1834

16,1.63,13,7416,4885

17,0.97,1,25,0

18,2.29,16,13582,9474

19,18.73,10,152843,116252

20,2.2,10,10373,6985

21,3.45,12,22942,16044

22,74.23,8,564165,437564

23,3.07,15,22551,17100

24,1.85,16,11453,6151

25,173.31,14,1053388,742840

26,6.26,18,41548,29099

27,1.49,15,1909,631

28,7.09,18,56806,41720

29,1.66,19,3500,604

30,300,-1,-1

31,1.597,6970,4364

32,300,-1,-1

33,1.249,879,186

34,5.608,46475,29226

35,3.765,29319,18055

36,5.455,39146,24662

37,300,-1,-1

38,1.43,753057,584911

39,478,1862556,1338786

40,300,-1,-1
