instance nr,time,solutions,nodes,failures
1,0.15,1,6,1
2,0.16,5,125,51
3,0.18,2,66,24
4,0.22,7,261,126
5,0.22,3,81,26
6,0.25,4,127,35
7,0.25,3,143,63
8,0.31,7,513,192
9,0.28,4,247,109
10,0.46,7,2855,1624
11,1.52,8,875,192
12,1.19,14,8852,4162
13,1.19,11,9948,4744
14,1.27,10,11524,5773
15,1.31,14,12257,4051
16,2.81,12,28136,11379
17,1.29,14,12447,4182
18,1.03,16,9375,2343
19,34.49,10,285238,143866
20,1.98,10,40757,9665
21,41.03,12,437679,142364
22,93.45,8,779912,375395
23,1.61,15,15447,5608
24,2.66,16,24961,11348
25,17.02,13,-1,-1
26,27.44,17,211319,87932
27,2.83,17,33939,10232
28,20.11,18,157278,77687
29,39.75,19,274088,124937
30,7.99,19,-1,-1
31,8.69,18,103049,51266
32,63.97,22,-1,-1
33,3.94,18,36825,14391
34,13.72,7,215415,83925
35,4.58,23,86787,27053
36,115.62,10,1445003,572976
37,67.45,9,-1,-1
38,82.79,23,-1,-1
39,3.09,19,-1,-1
40,246.28,11,-1,-1
